id,name,winrate,matches,avg elims,avg balls,avg wart,score
5890,Uni,55.77%,52,0.79,0.02,164.44,16440
4434,Sweatin Simmons,50%,52,1.88,0.06,28.78,16420
3582,Mushi,46.15%,52,1,0.08,189.53,16375
8579,Tamanuki,30.77%,52,0.04,4.38,0,16360
6221,UnderdogByDesign,48.08%,52,0.44,1.38,135.18,16315
7804,Oniki,40.38%,52,1.73,0.67,39.87,16285
1001,Burns Wenipee,51.92%,52,0.92,0.12,157.91,16245
807,Banana Mogger,50%,52,1.9,0.12,7.85,16110
8759,WillOfD,28.85%,52,0.02,4.42,0,16080
818,POOtaTurd,40.38%,52,1.83,0.42,44.35,16080
6259,BLAZIN ACE,50%,52,0.54,0.15,222.62,16065
6293,Karpathy,48.08%,52,1.9,0.19,4.99,16055
5232,The Destroyer,25%,52,0,4.63,0,15950
3717,Artist Moki,50%,52,0.85,0.02,175.7,15915
5050,Sleepy Gary,50%,52,1.83,0.13,7.36,15840
539,Bloodmoon,50%,52,0.56,0.15,206.28,15785
1826,Mokington,46.15%,52,1.94,0.17,3.39,15775
7370,Hoppi,25%,52,0,4.56,0,15750
1494,Spartacus,44.23%,52,0.81,0.06,209.2,15720
7691,Ruddy,51.92%,52,0.5,0.12,203.94,15565
1600,Not Nisheep,38.46%,52,1,1.96,14.48,15530
6824,Ryu Ganken,48.08%,52,1.81,0.15,4.93,15510
298,Defrankong,50%,52,1.73,0.17,3.2,15495
6769,Not a Raccoon,50%,52,1.73,0.08,12.33,15470
4784,Poop Digger,36.54%,52,0.77,1.75,79,15340
5110,Mugsy,48.08%,52,0.6,0.06,201.28,15260
7360,Kintama,40.38%,52,0.67,1.71,73.33,15260
561,Eggsy,46.15%,52,1.88,0.04,4.05,15230
1095,Nakimushi,48.08%,52,1.69,0.17,10.87,15215
2755,Dracumoki,42.31%,52,1.88,0.15,14.98,15200
1418,PNLS,46.15%,52,0.63,0.12,190.1,15090
3145,FizzyTwinTails,44.23%,52,1.87,0.08,10.39,15085
5031,BADSPEED,40.38%,52,1.92,0.17,13.16,15065
3015,Gambit,36.54%,52,0.69,0.13,234.96,15050
6025,Kuroshi,48.08%,52,0.54,0.06,199.02,15020
7302,MK Ultra 8888,44.23%,52,0.58,0.12,208.02,14910
446,Sir Brew,40.38%,52,1.94,0.1,11.51,14855
5504,JOEHNINGUS,40.38%,52,1.69,0.1,18.02,13995
8316,Fishoo,40.38%,52,1.71,0.1,8.11,13850
